geonameid,name,asciiname,lat,lon,feature_class,feature_code,country,admin1,admin2,population,timezone
8213437,Antonovichi,Antonovichi,55.3675,28.4295,P,PPL,BY,07,,0,Europe/Minsk
8213444,Kupelishche,Kupelishche,55.8093,28.532,P,PPL,BY,07,,0,Europe/Minsk
8213445,Kazakovo,Kazakovo,55.7635,28.4883,P,PPL,BY,07,,0,Europe/Minsk
8213446,Zor’ka,Zor'ka,55.7418,28.4781,P,PPL,BY,07,,0,Europe/Minsk
8213447,Alekseyevtsy,Alekseyevtsy,55.7322,28.5151,P,PPL,BY,07,,0,Europe/Minsk
8213448,Pereki,Pereki,55.7301,28.4996,P,PPL,BY,07,,0,Europe/Minsk
8213450,Parfënovtsy,Parfenovtsy,55.6769,28.5103,P,PPL,BY,07,,0,Europe/Minsk
8213451,Ryabinovka,Ryabinovka,55.66252,28.49841,P,PPL,BY,07,,0,Europe/Minsk
8213454,Navin’ye,Navin'ye,55.6004,28.4638,P,PPL,BY,07,,0,Europe/Minsk
8213456,Zales’ye,Zales'ye,55.59598,28.51667,P,PPL,BY,07,,0,Europe/Minsk
8213457,Rashtovo,Rashtovo,55.54,28.4883,P,PPL,BY,07,,0,Europe/Minsk
8213458,Tyul’ki,Tyul'ki,55.5291,28.4928,P,PPL,BY,07,,0,Europe/Minsk
8213459,Bezdedovichi Vtoryye,Bezdedovichi Vtoryye,55.4919,28.4777,P,PPL,BY,07,,0,Europe/Minsk
8213460,Bezdedovichi,Bezdedovichi,55.48367,28.50111,P,PPL,BY,07,,0,Europe/Minsk
8213461,Pametniki,Pametniki,55.4731,28.4929,P,PPL,BY,07,,0,Europe/Minsk
8213462,Dvor-Voronovshchina,Dvor-Voronovshchina,55.4398,28.4389,P,PPL,BY,07,,0,Europe/Minsk
8213463,Zales’ye,Zales'ye,55.4343,28.4839,P,PPL,BY,07,,0,Europe/Minsk
8213464,Maloshevo,Maloshevo,55.4243,28.4641,P,PPL,BY,07,,0,Europe/Minsk
8213465,Bodinovo,Bodinovo,55.40217,28.5074,P,PPL,BY,07,,0,Europe/Minsk
8213467,Vorob’i,Vorob'i,55.39063,28.51616,P,PPL,BY,07,,0,Europe/Minsk
8213470,Prudok,Prudok,55.36844,28.53245,P,PPLF,BY,07,,0,Europe/Minsk
8213472,Gury,Gury,55.3454,28.50061,P,PPL,BY,07,,0,Europe/Minsk
8213474,Sosnovyy Bor,Sosnovyy Bor,55.9889,28.6017,P,PPL,BY,07,,0,Europe/Minsk
8213477,Zabor’ye,Zabor'ye,55.8673,28.6075,P,PPL,BY,07,,0,Europe/Minsk
8213479,Starosekov Dvor,Starosekov Dvor,55.7821,28.5795,P,PPL,BY,07,,0,Europe/Minsk
8213480,Latyshëvo,Latyshevo,55.752,28.5701,P,PPL,BY,07,,0,Europe/Minsk
8213481,Kul’nëvo,Kul'nevo,55.7311,28.5573,P,PPL,BY,07,,0,Europe/Minsk
8213482,Kevly,Kevly,55.6921,28.5569,P,PPL,BY,07,,0,Europe/Minsk
8213483,Matyushi,Matyushi,55.682,28.5473,P,PPL,BY,07,,0,Europe/Minsk
8213485,Lisuny,Lisuny,55.66443,28.6032,P,PPL,BY,07,,0,Europe/Minsk
8213486,Laguny,Laguny,55.64122,28.62142,P,PPL,BY,07,,0,Europe/Minsk
